harmful-breakable-walk,harmful-breakable-walkBig,harmful-breakable-fly,harmful-breakable-flyBig,harmful-breakable-shooter,harmful-breakable-shooterBig,harmful-breakable-shooterFly,harmful-breakable-shooterFlyBig,harmful-indestructible-fixed,harmful-indestructible-fixedBig,harmful-indestructible-walk,harmful-indestructible-walkBig,harmful-indestructible-fly,harmful-indestructible-flyBig,harmful-indestructible-shooter,harmful-indestructible-shooterBig,harmful-indestructible-shooterFly,harmful-indestructible-shooterFlyBig,friendly-powerUp,friendly-vehicle,friendly-help,friendly-jump,friendly-move,friendly-teleport,friendly-puzzle,friendly-coin
0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,1,12,26,7,1,0,118
1,0,0,0,0,0,0,0,16,4,0,0,14,4,0,0,0,1,1,0,1,1,3,4,1,23
0,0,0,0,0,0,0,0,38,0,0,0,0,0,12,0,0,0,0,0,20,4,0,4,0,0
4,11,1,12,1,4,2,4,121,17,0,6,0,12,0,2,0,4,6,0,203,54,20,50,2,62
12,0,0,0,1,0,0,0,553,57,0,0,0,0,0,0,0,0,6,1,1545,446,16,136,34,0
0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,3,0,92,0,0,8,59,74
0,0,0,0,0,0,0,0,0,14,0,0,56,0,0,0,0,0,7,0,0,0,9,0,0,0
19,0,0,0,0,0,0,0,42,0,0,0,0,0,4,0,0,0,51,0,157,19,10,4,0,95
113,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,114,0,3,187,32,5,20,0
3,0,0,0,0,0,0,0,868,53,0,0,0,0,1,0,0,0,0,0,1,0,0,12,0,0
0,0,0,0,0,0,0,0,76,2,0,0,0,0,0,0,0,0,0,0,3,0,3,14,0,16
0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,11
7,0,0,0,0,0,0,0,101,9,0,0,0,0,1,0,0,0,0,0,602,38,4,0,3,0
9,0,31,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,1,0,12,0,37,3,0,46
5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,17,37,5,0,7
3,4,0,3,4,1,0,0,58,22,2,0,2,1,3,0,2,0,12,1,58,19,45,16,2,43
3,6,0,0,1,0,0,0,107,2,0,0,0,0,12,5,0,0,5,0,5,1,31,22,2,43
0,0,0,0,0,0,9,0,0,26,0,0,0,0,4,4,0,0,5,24,2,0,0,13,0,0
0,0,0,6,0,0,0,0,9,14,0,0,8,3,0,0,0,0,8,0,0,0,12,0,0,44
12,9,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,29,40,12,4,4,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
7,0,0,0,5,0,0,0,54,7,1,0,0,0,1,0,0,0,1,0,6,0,12,6,2,19
0,0,9,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,6,0,0,0,0
2,14,1,0,5,0,0,0,48,15,5,2,1,0,16,1,0,0,2,3,0,67,2,0,0,457
8,0,2,1,0,0,0,0,7,0,2,0,0,0,2,0,0,0,11,1,0,13,19,6,5,2
9,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,5,0,44,18,0,21
0,0,0,0,0,0,0,0,190,12,0,0,0,0,0,0,0,0,0,0,4,0,0,2,36,943
0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
5,0,0,0,9,2,1,0,105,21,1,1,2,2,6,0,0,0,12,18,36,38,33,67,7,31
0,0,0,7,3,1,0,0,13,1,0,0,0,0,8,0,0,0,119,0,24,21,70,28,13,166
7,0,0,0,1,0,0,0,199,2,16,0,0,0,5,0,0,0,20,4,43,137,10,23,7,362
0,1,0,0,0,0,0,0,5,2,5,0,0,0,6,0,0,0,21,0,0,10,22,17,3,3
12,0,0,0,15,0,0,0,140,14,0,0,11,0,5,1,0,0,6,1,43,0,12,38,0,308
8,3,0,0,1,0,0,0,1,1,0,1,0,1,0,3,0,0,31,1,105,59,94,8,0,369
14,0,3,0,0,0,0,0,3,1,0,0,0,0,3,0,0,0,13,1,21,49,10,52,1,72
0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,5,0,266,0,5,6,25,0
7,0,0,0,0,0,0,0,4,12,3,0,0,0,3,0,0,0,0,1,2,2,9,9,0,30
7,1,0,0,2,0,0,0,47,9,1,1,1,2,2,0,0,0,3,1,6,19,19,6,4,0
0,0,0,0,2,0,0,0,8,1,1,0,1,0,11,0,0,0,5,1,42,193,35,21,7,3
3,0,0,0,0,0,0,0,30,0,0,0,11,3,1,1,0,0,6,0,2,1,2,8,0,0
6,0,0,0,0,0,0,0,68,0,2,0,108,7,1,0,0,0,3,4,6,3,6,4,0,14
2,0,0,0,2,0,0,0,131,0,12,0,0,0,9,0,0,0,57,2,191,308,33,15,0,12
0,0,0,0,0,0,0,0,9,0,0,0,0,0,35,0,0,0,0,0,0,21,112,8,0,0
92,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,117,0,4,233,121,10,24,0
0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,0,0
4,10,9,13,0,2,0,0,23,1,0,0,0,3,35,1,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,0,0,272,11,1,0,2,0,2,0,0,0,9,0,43,11,68,23,1,26
35,3,44,8,0,0,0,0,10,1,0,0,0,0,1,0,0,0,3,0,12,2,6,24,0,95
6,1,0,0,6,0,0,0,4,12,0,0,16,0,1,0,0,0,0,0,10,0,37,14,0,68
0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0
29,0,0,0,0,0,0,0,358,0,29,0,0,0,17,0,0,0,61,1,251,304,64,14,6,147
20,2,5,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,5,0,16,0,9,0,0,11
8,2,8,1,0,6,0,0,22,13,0,0,0,15,51,2,0,0,2,0,0,41,78,6,0,376
5,0,2,0,1,0,0,0,3,0,0,0,0,0,68,1,1,0,2,1,13,2,6,8,0,93
16,0,0,0,2,0,0,0,24,4,7,0,3,0,4,0,0,0,42,2,10,40,38,20,3,344
0,0,0,0,1,0,0,0,1122,1,8,0,1,0,0,0,0,0,1,2,38,8,0,0,0,0
7,0,0,0,0,0,0,0,164,15,0,0,0,0,7,2,0,0,4,0,4,5,11,18,0,35
2,3,0,0,0,0,0,0,117,4,5,8,1,0,1,3,0,0,3,0,10,0,54,14,0,150
1,0,0,0,1,0,0,0,125,18,2,2,1,0,9,0,2,8,5,0,19,148,90,46,12,53
13,9,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,3,1,0,0,0,22,0,300
20,0,0,0,1,0,0,0,37,1,1,0,0,0,0,0,0,0,4,0,5,1,39,66,2,113
17,6,1,0,6,1,0,0,133,18,17,2,4,7,27,0,0,0,16,11,41,32,78,24,3,89
15,0,13,0,1,0,0,0,177,1,28,0,16,0,0,0,0,0,0,0,12,0,204,5,1,176
7,0,0,0,4,0,0,0,264,15,37,1,19,0,17,0,0,0,1,0,10,37,91,45,5,76
3,0,0,0,0,0,0,0,78,4,22,0,8,9,4,0,0,0,17,6,14,119,17,4,2,26
35,3,0,1,3,0,0,0,92,7,0,0,3,4,9,0,0,0,100,4,8,47,47,14,2,4
8,0,0,1,36,1,0,0,8,0,0,9,0,0,20,4,0,0,96,0,107,256,32,7,0,238
7,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,3,0,6,0,0,2
0,0,0,0,0,0,0,0,93,25,0,2,3,8,0,0,0,0,2,9,5,0,18,8,41,14
10,0,4,0,0,0,0,0,2,0,4,0,4,1,4,0,0,0,1,3,21,9,2,16,0,98
26,1,0,1,0,1,0,0,112,1,0,0,3,0,0,0,0,0,7,1,16,0,3,16,3,36
0,0,0,0,0,0,0,0,414,42,0,0,0,0,121,0,0,0,0,0,1,626,17,65,0,96
3,0,0,0,0,0,0,0,429,28,5,0,0,0,12,1,0,0,4,10,17,0,8,0,0,52
111,0,0,0,0,0,0,0,23,3,0,0,0,0,0,0,0,0,107,0,3,178,43,14,62,20
12,13,1,0,0,0,1,0,84,12,0,0,1,0,0,16,0,1,33,0,5,57,19,10,31,16
6,0,4,0,1,0,0,0,6,8,0,0,8,0,8,0,0,0,10,0,12,0,10,16,2,5
0,0,0,0,0,0,0,0,152,7,0,0,2,0,13,3,0,0,18,3,2,22,108,68,6,4
0,18,0,0,0,0,0,0,3,6,1,0,0,0,27,0,0,0,0,0,329,49,42,5,0,221
84,0,0,0,1,0,1,0,2,2,0,0,10,5,0,0,0,0,7,1,117,88,28,10,2,26
2,2,0,0,0,0,0,0,213,5,0,1,0,8,1,2,0,0,19,0,620,50,55,18,36,85
3,0,0,0,0,0,0,0,1426,0,0,0,1,0,2,0,0,0,0,0,0,11,2,0,0,0
9,3,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,3,0,1,0,77,20,0,23
3,0,0,0,0,0,0,0,127,4,3,0,5,0,1,2,0,0,4,1,7,9,9,11,0,41
5,12,0,3,11,1,0,0,148,36,2,0,25,2,4,0,0,0,3,3,210,38,42,7,3,60
16,0,0,0,0,0,0,0,718,15,38,0,4,0,43,0,0,0,1,3,396,171,55,7,3,296
