ID,timeLimit,widthBlock,heightBlock,objectCount,record,harmful-breakable-walk,harmful-breakable-walkBig,harmful-breakable-fly,harmful-breakable-flyBig,harmful-breakable-shooter,harmful-breakable-shooterBig,harmful-breakable-shooterFly,harmful-breakable-shooterFlyBig,harmful-indestructible-fixed,harmful-indestructible-fixedBig,harmful-indestructible-walk,harmful-indestructible-walkBig,harmful-indestructible-fly,harmful-indestructible-flyBig,harmful-indestructible-shooter,harmful-indestructible-shooterBig,harmful-indestructible-shooterFly,harmful-indestructible-shooterFlyBig,friendly-powerUp,friendly-vehicle,friendly-help,friendly-jump,friendly-move,friendly-teleport,friendly-puzzle,friendly-coin
31F8-0000-0322-4113,300,218,27,2507,60471,14,0,3,0,0,0,0,0,3,1,0,0,0,0,3,0,0,0,13,1,21,49,10,52,1,72
321E-0000-0316-BD95,10,84,27,908,6950,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,5,0,266,0,5,6,25,0
325C-0000-0386-2679,420,128,27,1297,65279,7,0,0,0,0,0,0,0,4,12,3,0,0,0,3,0,0,0,0,1,2,2,9,9,0,30
32ED-0000-0351-A9B0,30,240,27,1314,29599,7,1,0,0,2,0,0,0,47,9,1,1,1,2,2,0,0,0,3,1,6,19,19,6,4,0
33FC-0000-0383-9D7E,500,171,27,3106,124833,0,0,0,0,2,0,0,0,8,1,1,0,1,0,11,0,0,0,5,1,42,193,35,21,7,3
34B2-0000-0365-19DD,500,209,27,2016,48510,3,0,0,0,0,0,0,0,30,0,0,0,11,3,1,1,0,0,6,0,2,1,2,8,0,0
34F1-0000-0365-FE7C,500,190,27,1521,28878,6,0,0,0,0,0,0,0,68,0,2,0,108,7,1,0,0,0,3,4,6,3,6,4,0,14
34BC-0000-032B-0312,500,212,27,3506,38970,2,0,0,0,2,0,0,0,131,0,12,0,0,0,9,0,0,0,57,2,191,308,33,15,0,12
316A-0000-038C-66C3,150,240,27,4200,70133,0,0,0,0,0,0,0,0,9,0,0,0,0,0,35,0,0,0,0,0,0,21,112,8,0,0
3537-0000-038D-8BA8,500,176,27,4094,39376,92,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,117,0,4,233,121,10,24,0
358F-0000-035B-DEF1,10,24,27,144,866,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,0,0
353D-0000-0378-8BDB,20,201,27,898,19715,4,10,9,13,0,2,0,0,23,1,0,0,0,3,35,1,0,0,0,0,0,0,0,0,0,0
3730-0000-034D-E989,40,240,27,2178,27967,3,1,1,0,0,0,0,0,272,11,1,0,2,0,2,0,0,0,9,0,43,11,68,23,1,26
37A7-0000-0305-6897,500,240,27,3406,46458,35,3,44,8,0,0,0,0,10,1,0,0,0,0,1,0,0,0,3,0,12,2,6,24,0,95
37D2-0000-0367-5E52,500,240,27,2858,62708,6,1,0,0,6,0,0,0,4,12,0,0,16,0,1,0,0,0,0,0,10,0,37,14,0,68
36B1-0000-0344-6F49,10,114,27,1631,9733,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0
37EF-0000-0328-00D4,500,240,27,2356,98630,29,0,0,0,0,0,0,0,358,0,29,0,0,0,17,0,0,0,61,1,251,304,64,14,6,147
3842-0000-0314-FF3D,500,240,27,147,20627,20,2,5,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,5,0,16,0,9,0,0,11
